,cutoff,roc_auc,share
0,5,0.8227756267007569,0.9800566408409379
1,10,0.8245290585934973,0.9680736160839577
2,25,0.8254222759677259,0.9396001122611262
3,50,0.826155955835042,0.8949167821879013
4,75,0.8271843352921053,0.8513815772688229
5,100,0.8286389741229159,0.8083821640883461
6,150,0.8291994688909312,0.7256746298359457
7,200,0.831250710564045,0.6532236802939201
8,300,0.834579053222342,0.5326705391085446
9,400,0.8341341688404067,0.4329027155286053
10,500,0.834171049237157,0.3488429449835435
11,600,0.8347544974279857,0.2783395558881811
12,700,0.8342857024893804,0.22141806213483242
13,800,0.8341226340633219,0.1738261483377699
