,cutoff,max_roc_auc,min_roc_auc,share
0,5,0.8149647729812524,0.6727991739717495,0.9809661192484095
1,10,0.8166937136020084,0.6395115836225148,0.9696626719928984
2,25,0.8179530409060989,0.704112748443678,0.9425876608965823
3,50,0.8187441663598886,0.7492053589462955,0.8998816392957538
4,75,0.8200279697569756,0.7618990329199133,0.8583666222814026
5,100,0.8209703039529168,0.7704603893102753,0.8169995561473591
6,150,0.8219283079103529,0.7840249996179764,0.7364181091877496
7,200,0.8241162748541637,0.7880930874491916,0.6655422399763279
8,300,0.8261731265045942,0.7948485155648837,0.5455910637668294
9,400,0.8249197022332906,0.8018556148583872,0.44501405533362925
10,500,0.8248468263859429,0.8049206137987142,0.36006065986092617
11,600,0.8245080891487611,0.8072009607362894,0.28828229027962715
12,700,0.8267694588408525,0.8080824559278569,0.23012279923065543
13,800,0.8266564098538987,0.8094544228499065,0.18104009468856339
